accession	reason
SRR29348423	busco_completeness_below_0.5
SRR29348962	busco_completeness_below_0.5
SRR29353572	busco_completeness_below_0.5
SRR29366249	busco_completeness_below_0.5
SRR29366288	busco_completeness_below_0.5
SRR29366291	busco_completeness_below_0.5
SRR29420464	busco_completeness_below_0.5
SRR29420473	busco_completeness_below_0.5
SRR29701893	busco_completeness_below_0.5
SRR29880938	busco_completeness_below_0.5
SRR2988777	busco_completeness_below_0.5
SRR30037265	busco_completeness_below_0.5
SRR30037276	busco_completeness_below_0.5
SRR30340041	busco_completeness_below_0.5
SRR30428267	busco_completeness_below_0.5
SRR30535823	busco_completeness_below_0.5
SRR30540345	busco_completeness_below_0.5
SRR30642373	busco_completeness_below_0.5
SRR30643802	busco_completeness_below_0.5
SRR30643824	busco_completeness_below_0.5
SRR30643825	busco_completeness_below_0.5
SRR30662000	busco_completeness_below_0.5
SRR30662006	busco_completeness_below_0.5
SRR30662011	busco_completeness_below_0.5
SRR30662012	busco_completeness_below_0.5
SRR30662026	busco_completeness_below_0.5
SRR30764675	busco_completeness_below_0.5
SRR30778084	busco_completeness_below_0.5
SRR30905183	busco_completeness_below_0.5
SRR30981149	busco_completeness_below_0.5
SRR30984889	busco_completeness_below_0.5
SRR31113614	busco_completeness_below_0.5
SRR31528891	busco_completeness_below_0.5
SRR31528903	busco_completeness_below_0.5
SRR31620754	busco_completeness_below_0.5
SRR31684889	busco_completeness_below_0.5
SRR31704435	busco_completeness_below_0.5
SRR31704456	busco_completeness_below_0.5
SRR31758195	busco_completeness_below_0.5
SRR31799974	busco_completeness_below_0.5
SRR3187003	busco_completeness_below_0.5
SRR32116460	busco_completeness_below_0.5
SRR32116461	busco_completeness_below_0.5
SRR32116462	busco_completeness_below_0.5
SRR32116467	busco_completeness_below_0.5
SRR32116469	busco_completeness_below_0.5
SRR32116470	busco_completeness_below_0.5
SRR32116471	busco_completeness_below_0.5
SRR32137351	busco_completeness_below_0.5
SRR3226068	busco_completeness_below_0.5
SRR32372181	busco_completeness_below_0.5
SRR32838628	busco_completeness_below_0.5
SRR32899784	busco_completeness_below_0.5
SRR33121458	busco_completeness_below_0.5
SRR33279958	busco_completeness_below_0.5
SRR3329206	busco_completeness_below_0.5
SRR3330396	busco_completeness_below_0.5
SRR33429932	busco_completeness_below_0.5
SRR33429934	busco_completeness_below_0.5
SRR33452673	busco_completeness_below_0.5
SRR33464612	busco_completeness_below_0.5
SRR33612629	busco_completeness_below_0.5
SRR33612633	busco_completeness_below_0.5
SRR33619011	busco_completeness_below_0.5
SRR33812632	busco_completeness_below_0.5
SRR33977004	busco_completeness_below_0.5
SRR3406927	busco_completeness_below_0.5
SRR34110842	busco_completeness_below_0.5
SRR34290623	busco_completeness_below_0.5
SRR34290624	busco_completeness_below_0.5
SRR34290625	busco_completeness_below_0.5
SRR34290626	busco_completeness_below_0.5
SRR34290627	busco_completeness_below_0.5
SRR34290628	busco_completeness_below_0.5
SRR34290629	busco_completeness_below_0.5
SRR34290630	busco_completeness_below_0.5
SRR34290631	busco_completeness_below_0.5
SRR34290632	busco_completeness_below_0.5
SRR34290633	busco_completeness_below_0.5
SRR34290634	busco_completeness_below_0.5
SRR34290635	busco_completeness_below_0.5
SRR34290636	busco_completeness_below_0.5
SRR34290637	busco_completeness_below_0.5
SRR34290638	busco_completeness_below_0.5
SRR34290639	busco_completeness_below_0.5
SRR34290640	busco_completeness_below_0.5
SRR34290641	busco_completeness_below_0.5
SRR34290642	busco_completeness_below_0.5
SRR34290643	busco_completeness_below_0.5
SRR34290644	busco_completeness_below_0.5
SRR34290645	busco_completeness_below_0.5
SRR34290646	busco_completeness_below_0.5
